2026-04-22 10:42:42,546 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 10:53:05,958 | send | /adm/obj/1/xyz | [1.0, 0.0418977215886116, -0.38596636056900024]
2026-04-22 10:53:05,958 | send | /adm/obj/2/xyz | [1.0, 0.0418977215886116, -0.38596636056900024]
2026-04-22 10:53:06,058 | recv | /reward | [0.157996267080307]
2026-04-22 10:53:06,059 | send | /adm/obj/1/xyz | [-0.08409509807825089, 1.0, -0.6043878197669983]
2026-04-22 10:53:06,059 | send | /adm/obj/2/xyz | [-0.08409509807825089, 1.0, -0.6043878197669983]
2026-04-22 10:53:06,149 | recv | /reward | [0.7082892656326294]
2026-04-22 10:53:06,150 | send | /adm/obj/1/xyz | [0.7343197464942932, -0.29356473684310913, -1.0]
2026-04-22 10:53:06,150 | send | /adm/obj/2/xyz | [0.7343197464942932, -0.29356473684310913, -1.0]
2026-04-22 10:53:06,229 | recv | /reward | [0.8074103593826294]
2026-04-22 10:53:06,230 | send | /adm/obj/1/xyz | [-0.6692636609077454, 0.21523050963878632, 1.0]
2026-04-22 10:53:06,230 | send | /adm/obj/2/xyz | [-0.6692636609077454, 0.21523050963878632, 1.0]
2026-04-22 10:53:06,333 | recv | /reward | [1.0]
2026-04-22 10:53:06,334 | send | /adm/obj/1/xyz | [-0.7758430242538452, -0.3950788676738739, 1.0]
2026-04-22 10:53:06,334 | send | /adm/obj/2/xyz | [-0.7758430242538452, -0.3950788676738739, 1.0]
2026-04-22 10:53:06,428 | recv | /reward | [1.0]
2026-04-22 10:53:06,429 | send | /adm/obj/1/xyz | [0.6880008578300476, 1.0, 0.18852508068084717]
2026-04-22 10:53:06,429 | send | /adm/obj/2/xyz | [0.6880008578300476, 1.0, 0.18852508068084717]
2026-04-22 10:53:06,517 | recv | /reward | [0.7668830156326294]
2026-04-22 10:53:06,518 | send | /adm/obj/1/xyz | [0.08448804169893265, -0.6166091561317444, -1.0]
2026-04-22 10:53:06,518 | send | /adm/obj/2/xyz | [0.08448804169893265, -0.6166091561317444, -1.0]
2026-04-22 10:53:06,610 | recv | /reward | [0.5837775468826294]
2026-04-22 10:53:06,611 | send | /adm/obj/1/xyz | [-1.0, -0.8287850022315979, 0.8343141078948975]
2026-04-22 10:53:06,611 | send | /adm/obj/2/xyz | [-1.0, -0.8287850022315979, 0.8343141078948975]
2026-04-22 11:00:20,287 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 11:00:21,141 | send | /training/status | [1, 'training active']
2026-04-22 11:00:21,141 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-22 11:00:22,158 | send | /adm/obj/1/xyz | [-0.29226911067962646, -0.8513426780700684, -1.0]
2026-04-22 11:00:22,158 | send | /adm/obj/2/xyz | [-0.29226911067962646, -0.8513426780700684, -1.0]
2026-04-22 11:00:24,174 | recv | /reward | [0.178259938955307]
2026-04-22 11:00:24,175 | send | /adm/obj/1/xyz | [1.0, 1.0, 0.25858378410339355]
2026-04-22 11:00:24,175 | send | /adm/obj/2/xyz | [1.0, 1.0, 0.25858378410339355]
2026-04-22 11:00:24,267 | recv | /reward | [-0.013390444219112396]
2026-04-22 11:00:24,268 | send | /adm/obj/1/xyz | [-0.8277931809425354, -1.0, 0.11607054620981216]
2026-04-22 11:00:24,268 | send | /adm/obj/2/xyz | [-0.8277931809425354, -1.0, 0.11607054620981216]
2026-04-22 11:00:24,362 | recv | /reward | [0.412879079580307]
2026-04-22 11:00:24,363 | send | /adm/obj/1/xyz | [-0.3189454972743988, 0.7421671748161316, 1.0]
2026-04-22 11:00:24,363 | send | /adm/obj/2/xyz | [-0.3189454972743988, 0.7421671748161316, 1.0]
2026-04-22 11:00:24,454 | recv | /reward | [0.238806813955307]
2026-04-22 11:00:24,455 | send | /adm/obj/1/xyz | [0.6442331075668335, -1.0, 1.0]
2026-04-22 11:00:24,455 | send | /adm/obj/2/xyz | [0.6442331075668335, -1.0, 1.0]
2026-04-22 11:00:24,556 | recv | /reward | [0.331091970205307]
2026-04-22 11:00:24,556 | send | /adm/obj/1/xyz | [-1.0, 0.8238303661346436, 0.09708148241043091]
2026-04-22 11:00:24,557 | send | /adm/obj/2/xyz | [-1.0, 0.8238303661346436, 0.09708148241043091]
2026-04-22 11:04:16,345 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 11:04:17,227 | send | /training/status | [1, 'training active']
2026-04-22 11:04:17,227 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-22 11:04:18,230 | send | /adm/obj/1/xyz | [0.3307081460952759, -1.0, 0.44474828243255615]
2026-04-22 11:04:18,230 | send | /adm/obj/2/xyz | [0.3307081460952759, -1.0, 0.44474828243255615]
2026-04-22 11:05:01,340 | listener_started | / | ['0.0.0.0, 9001']
2026-04-22 11:05:02,206 | send | /training/status | [1, 'training active']
2026-04-22 11:05:02,206 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-22 11:05:02,210 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-04-22 11:05:02,212 | send | /adm/obj/1/xyz | [-1.0, 1.0, 0.35297808051109314]
2026-04-22 11:05:02,212 | send | /adm/obj/2/xyz | [-1.0, 1.0, 0.35297808051109314]
2026-04-22 11:05:03,478 | recv | /reward | [0.484168142080307]
2026-04-22 11:05:03,479 | send | /adm/obj/1/xyz | [0.3670853078365326, 1.0, -1.0]
2026-04-22 11:05:03,479 | send | /adm/obj/2/xyz | [0.3670853078365326, 1.0, -1.0]
2026-04-22 11:05:03,552 | recv | /reward | [0.5398322343826294]
2026-04-22 11:05:03,553 | send | /adm/obj/1/xyz | [0.5637965202331543, 0.409943550825119, 0.014987015165388584]
2026-04-22 11:05:03,553 | send | /adm/obj/2/xyz | [0.5637965202331543, 0.409943550825119, 0.014987015165388584]
2026-04-22 11:05:03,657 | recv | /reward | [0.212439626455307]
2026-04-22 11:05:03,658 | send | /adm/obj/1/xyz | [0.8234061598777771, 0.8366203308105469, -1.0]
2026-04-22 11:05:03,658 | send | /adm/obj/2/xyz | [0.8234061598777771, 0.8366203308105469, -1.0]
