2026-03-24 10:20:22,753 | send | /adm/obj/1/xyz | [1.0, 1.0, 0.21849603950977325]
2026-03-24 10:20:22,754 | recv | /adm/obj/1/xyz | [1.0, 1.0, 0.21849603950977325]
2026-03-24 10:21:03,389 | recv | /reward | [-2]
2026-03-24 10:21:03,394 | send | /adm/obj/1/xyz | [0.1863514482975006, 0.28338363766670227, -0.7230655550956726]
2026-03-24 10:21:03,394 | recv | /adm/obj/1/xyz | [0.1863514482975006, 0.28338363766670227, -0.7230655550956726]
2026-03-24 10:21:13,726 | recv | /reward | [1]
2026-03-24 10:21:13,729 | send | /adm/obj/1/xyz | [-1.0, 1.0, -0.20271830260753632]
2026-03-24 10:21:13,730 | recv | /adm/obj/1/xyz | [-1.0, 1.0, -0.20271830260753632]
2026-03-24 10:21:16,476 | recv | /reward | [-2]
2026-03-24 10:21:16,482 | send | /adm/obj/1/xyz | [-0.7055626511573792, -0.14475956559181213, -1.0]
2026-03-24 10:21:16,483 | recv | /adm/obj/1/xyz | [-0.7055626511573792, -0.14475956559181213, -1.0]
2026-03-24 10:21:36,852 | recv | /episode/reset_manual | [1]
2026-03-24 10:21:36,853 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 10:21:36,856 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 10:21:36,859 | send | /adm/obj/1/xyz | [1.0, 0.7486422657966614, -0.7831630706787109]
2026-03-24 10:21:36,860 | recv | /adm/obj/1/xyz | [1.0, 0.7486422657966614, -0.7831630706787109]
2026-03-24 10:42:33,858 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 10:45:02,392 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 10:45:02,872 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 10:45:02,880 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 10:45:02,891 | send | /adm/obj/1/xyz | [1.0, -1.0, -0.11247967928647995]
2026-03-24 10:45:02,891 | recv | /adm/obj/1/xyz | [1.0, -1.0, -0.11247967928647995]
2026-03-24 10:45:43,236 | recv | /reward | [2]
2026-03-24 10:45:43,240 | send | /adm/obj/1/xyz | [-1.0, 0.1763100028038025, -0.8794217705726624]
2026-03-24 10:45:43,241 | recv | /adm/obj/1/xyz | [-1.0, 0.1763100028038025, -0.8794217705726624]
2026-03-24 10:45:45,754 | recv | /reward | [-2]
2026-03-24 10:45:45,755 | send | /adm/obj/1/xyz | [-0.5891138911247253, -0.5111563205718994, 0.7667972445487976]
2026-03-24 10:45:45,756 | recv | /adm/obj/1/xyz | [-0.5891138911247253, -0.5111563205718994, 0.7667972445487976]
2026-03-24 10:45:48,960 | recv | /reward | [-1]
2026-03-24 10:45:48,964 | send | /adm/obj/1/xyz | [-0.5906988978385925, 0.24657376110553741, -0.02468852698802948]
2026-03-24 10:45:48,966 | recv | /adm/obj/1/xyz | [-0.5906988978385925, 0.24657376110553741, -0.02468852698802948]
2026-03-24 10:45:51,223 | recv | /reward | [0]
2026-03-24 10:45:51,226 | send | /adm/obj/1/xyz | [-0.3980419337749481, 0.9979536533355713, -1.0]
2026-03-24 10:45:51,227 | recv | /adm/obj/1/xyz | [-0.3980419337749481, 0.9979536533355713, -1.0]
2026-03-24 10:45:53,899 | recv | /reward | [-2]
2026-03-24 10:45:53,900 | send | /adm/obj/1/xyz | [-1.0, 1.0, -1.0]
2026-03-24 10:45:53,900 | recv | /adm/obj/1/xyz | [-1.0, 1.0, -1.0]
2026-03-24 10:45:56,604 | recv | /reward | [-2]
2026-03-24 10:45:56,607 | send | /adm/obj/1/xyz | [1.0, 0.5006869435310364, 0.45405229926109314]
2026-03-24 10:45:56,609 | recv | /adm/obj/1/xyz | [1.0, 0.5006869435310364, 0.45405229926109314]
2026-03-24 10:46:00,382 | recv | /reward | [-2]
2026-03-24 10:46:00,385 | send | /adm/obj/1/xyz | [-1.0, -1.0, 1.0]
2026-03-24 10:46:00,386 | recv | /adm/obj/1/xyz | [-1.0, -1.0, 1.0]
2026-03-24 10:46:03,237 | recv | /reward | [-2]
2026-03-24 10:46:03,239 | send | /adm/obj/1/xyz | [0.7151076793670654, -1.0, -0.6260309815406799]
2026-03-24 10:46:03,241 | recv | /adm/obj/1/xyz | [0.7151076793670654, -1.0, -0.6260309815406799]
2026-03-24 10:46:11,638 | recv | /reward | [-2]
2026-03-24 10:46:11,645 | send | /adm/obj/1/xyz | [0.2999607026576996, -0.2861926555633545, 0.04394323378801346]
2026-03-24 10:46:11,646 | recv | /adm/obj/1/xyz | [0.2999607026576996, -0.2861926555633545, 0.04394323378801346]
2026-03-24 10:46:13,963 | recv | /reward | [1]
2026-03-24 10:46:13,965 | send | /adm/obj/1/xyz | [-1.0, 1.0, -0.9147515892982483]
2026-03-24 10:46:13,965 | recv | /adm/obj/1/xyz | [-1.0, 1.0, -0.9147515892982483]
2026-03-24 10:46:28,519 | recv | /reward | [-2]
2026-03-24 10:46:28,524 | send | /adm/obj/1/xyz | [0.017862612381577492, 0.5389512777328491, -1.0]
2026-03-24 10:46:28,525 | recv | /adm/obj/1/xyz | [0.017862612381577492, 0.5389512777328491, -1.0]
2026-03-24 10:49:45,266 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 10:49:45,743 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 10:49:45,746 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 10:49:45,747 | send | /adm/obj/1/xyz | [-1.0, 1.0, 0.6957011222839355]
2026-03-24 10:49:45,748 | recv | /adm/obj/1/xyz | [-1.0, 1.0, 0.6957011222839355]
2026-03-24 10:49:50,210 | recv | /reward | [-2]
2026-03-24 10:49:50,211 | send | /adm/obj/1/xyz | [1.0, 0.6201363801956177, 0.2191944271326065]
2026-03-24 10:49:50,211 | recv | /adm/obj/1/xyz | [1.0, 0.6201363801956177, 0.2191944271326065]
2026-03-24 10:49:52,945 | recv | /reward | [-2]
2026-03-24 10:49:52,948 | send | /adm/obj/1/xyz | [0.5269426703453064, 0.12947112321853638, 0.799419105052948]
2026-03-24 10:49:52,949 | recv | /adm/obj/1/xyz | [0.5269426703453064, 0.12947112321853638, 0.799419105052948]
2026-03-24 10:49:55,708 | recv | /reward | [0]
2026-03-24 10:49:55,710 | send | /adm/obj/1/xyz | [-1.0, -0.7294818162918091, 0.9273907542228699]
2026-03-24 10:49:55,710 | recv | /adm/obj/1/xyz | [-1.0, -0.7294818162918091, 0.9273907542228699]
2026-03-24 10:49:58,070 | recv | /reward | [-2]
2026-03-24 10:49:58,072 | send | /adm/obj/1/xyz | [1.0, -0.5068122744560242, -0.7548116445541382]
2026-03-24 10:49:58,073 | recv | /adm/obj/1/xyz | [1.0, -0.5068122744560242, -0.7548116445541382]
2026-03-24 10:50:00,329 | recv | /reward | [-2]
2026-03-24 10:50:00,330 | send | /adm/obj/1/xyz | [-1.0, -0.6115553379058838, -1.0]
2026-03-24 10:50:00,331 | recv | /adm/obj/1/xyz | [-1.0, -0.6115553379058838, -1.0]
2026-03-24 10:50:02,554 | recv | /reward | [-2]
2026-03-24 10:50:02,557 | send | /adm/obj/1/xyz | [1.0, -0.037640683352947235, -1.0]
2026-03-24 10:50:02,559 | recv | /adm/obj/1/xyz | [1.0, -0.037640683352947235, -1.0]
2026-03-24 10:50:04,824 | recv | /reward | [-2]
2026-03-24 10:50:04,829 | send | /adm/obj/1/xyz | [-0.9156748652458191, -0.27875691652297974, -0.5530528426170349]
2026-03-24 10:50:04,829 | recv | /adm/obj/1/xyz | [-0.9156748652458191, -0.27875691652297974, -0.5530528426170349]
2026-03-24 10:50:08,061 | recv | /reward | [-2]
2026-03-24 10:50:08,073 | send | /adm/obj/1/xyz | [-0.5404523015022278, 0.5679197907447815, -1.0]
2026-03-24 10:50:08,074 | recv | /adm/obj/1/xyz | [-0.5404523015022278, 0.5679197907447815, -1.0]
2026-03-24 10:50:10,424 | recv | /reward | [0]
2026-03-24 10:50:10,425 | send | /adm/obj/1/xyz | [1.0, -1.0, 0.10915358364582062]
2026-03-24 10:50:10,425 | recv | /adm/obj/1/xyz | [1.0, -1.0, 0.10915358364582062]
2026-03-24 10:50:13,262 | recv | /reward | [-2]
2026-03-24 10:50:13,263 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 10:50:13,267 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-03-24 10:50:13,270 | send | /adm/obj/1/xyz | [0.10125009715557098, 1.0, -1.0]
2026-03-24 10:50:13,271 | recv | /adm/obj/1/xyz | [0.10125009715557098, 1.0, -1.0]
2026-03-24 10:50:17,140 | recv | /reward | [-2]
2026-03-24 10:50:17,141 | send | /adm/obj/1/xyz | [1.0, -0.4159128963947296, 1.0]
2026-03-24 10:50:17,142 | recv | /adm/obj/1/xyz | [1.0, -0.4159128963947296, 1.0]
2026-03-24 10:51:35,880 | listener_started | / | ['127.0.0.1:9001']
2026-03-24 10:51:36,386 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-03-24 10:51:36,392 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
